Field,Offset,Size,Struct,Explanation
"Next 15-min Wind Speed 
Graph Pointer",74,1,B,"Points to the next 15-minute wind speed graph point.  For current 
graph point, just subtract 1 (range from 0 to 23 on VP/VP2 
console and 0 to 24 on Vantage Vue console)"
"Next Hourly Wind Speed 
Graph Pointer",75,1,B,"Points to the next hour wind speed graph point.  For current 
graph point, just subtract 1 (range from 0 to 23 on VP/VP2 
console and 0 to 24 on Vantage Vue console)"
"Next Daily Wind Speed 
Graph Pointer",76,1,B,"Points to the next daily wind speed graph point.  For current 
graph point, just subtract 1 (range from 0 to 23 on VP/VP2 
console and 0 to 24 on Vantage Vue console)"
"Next Minute Rain Graph 
Pointer",77,1,B,"Points to the next minute rain graph point.  For current graph 
point, just subtract 1 (range from 0 to 23 on VP/VP2 console and 
0 to 24 on Vantage Vue console)"
"Next Rain Storm Graph 
Pointer",78,1,B,"Points to the next rain storm graph point.  For current graph 
point, just subtract 1 (range from 0 to 23 on VP/VP2 console and 
0 to 254on Vantage Vue console)"
"Index to the Minute within 
an Hour",79,1,B,"It keeps track of the minute within an hour for the rain 
calculation.  (range from 0 to 59)"
Next Monthly Rain,80,1,B,"Points to the next monthly rain graph point.  For current graph 
point, just subtract 1 (range from 0 to 23 on VP/VP2 console and 
0 to 24 on Vantage Vue console)"
Next Yearly Rain,81,1,B,"Points to the next yearly rain graph point.  For current graph 
point, just subtract 1 (range from 0 to 23 on VP/VP2 console and 
0 to 24 on Vantage Vue console)"
Next Seasonal Rain,82,1,B,"Points to the next seasonal rain graph point.  Yearly rain always 
resets at the beginning of the calendar, but seasonal rain resets 
when rain season begins.  For current graph point, just subtract 1 
(range from 0 to 23 on VP/VP2 console and 0 to 24 on Vantage 
Vue console)"
Unused,83,2,H,"Unused field, filled with 0x7FFF"
Unused,85,2,H,"Unused field, filled with 0x7FFF"
Unused,87,2,H,"Unused field, filled with 0x7FFF"
Unused,89,2,H,"Unused field, filled with 0x7FFF"
Unused,91,2,H,"Unused field, filled with 0x7FFF"
Unused,93,2,H,"Unused field, filled with 0x7FFF"
LF,95,1,B,
CR,96,1,B,
CRC,97,2,H,
